Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-12-18 12:35:12,false,"Cardiff Running","7.00","712","00:45:43","159","173","4.6","155","167","6:32","3:58","20","15","0.98","8.6","8.4","291","6:30","388","0.0","376","529","0.0","0.0","0","0","0","--","0:00","21.0","0:00","No","00:00.70","8","29.0","00:45:27","00:45:43","7","16"
Running,2023-12-12 11:57:03,false,"Cardiff Running","5.23","525","00:34:53","155","178","3.9","149","173","6:40","4:50","25","21","1.00","8.1","8.1","292","6:36","390","0.0","366","572","0.0","0.0","0","0","0","--","0:00","20.0","0:00","No","01:15.74","6","28.0","00:34:51","00:35:13","8","19"
Strength Training,2023-12-07 17:04:38,false,"Strength","0.00","541","01:22:52","102","147","1.5","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","6","1","0:00","0.0","0:00","No","01:22:51.56","1","0.0","01:09:57","01:22:52","--","--"
Running,2023-12-07 16:28:07,false,"Cardiff Running","2.65","241","00:24:24","122","144","2.0","118","217","9:13","6:33","7","11","0.86","8.0","6.8","312","9:14","262","0.0","217","417","0.0","0.0","0","0","0","--","0:00","17.0","0:00","No","00:21.11","17","22.0","00:24:06","00:24:24","4","11"
Strength Training,2023-12-05 17:55:27,false,"Strength","0.00","537","01:22:06","106","147","1.5","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","7","1","0:00","0.0","0:00","No","01:22:05.56","1","0.0","01:22:06","01:22:06","--","--"
Running,2023-12-05 17:15:58,false,"Cardiff Running","3.25","293","00:29:20","120","148","2.1","118","228","9:02","6:33","5","6","0.87","7.8","6.7","313","9:07","256","0.0","215","402","0.0","0.0","0","0","0","--","0:00","15.0","0:00","No","02:42.39","4","30.0","00:29:19","00:29:20","6","10"
Trail Running,2023-12-02 09:54:55,false,"Powys - Secret Santa Turkey 10 mile","16.74","2,506","03:49:01","148","172","5.0","85","245","13:41","5:10","814","823","0.81","8.6","6.5","322","12:06","252","0.0","166","872","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","05:30.04","17","0.0","03:01:39","03:49:01","145","553"
Strength Training,2023-11-28 18:00:54,false,"Strength","0.00","429","01:02:39","106","154","0.9","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","5","1","0:00","0.0","0:00","No","01:02:39.45","1","0.0","01:02:39","01:02:39","--","--"
Running,2023-11-27 17:30:11,false,"Cardiff Running","8.03","809","00:51:46","157","172","4.5","156","169","6:27","5:17","16","21","0.99","8.7","8.6","296","6:26","388","0.0","383","489","0.0","0.0","0","0","0","--","0:00","18.0","0:00","No","00:08.70","9","26.0","00:51:44","00:51:46","0","9"
Strength Training,2023-11-20 17:55:53,false,"Strength","0.00","317","00:43:56","107","153","0.9","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","30","1","0:00","0.0","0:00","No","43:55.77","1","0.0","00:43:56","00:43:56","--","--"
